"","BIOME","Nat","Notnat","biome_km2","pa_km2","pa_prop","panat_prop","prop_of_pa_nat"
"1","Albany Thicket",5120.5932,275.2628,35076.6448,5395.856,0.1538304484584,0.145982981815866,0.948986259084749
"2","Azonal",2613.5728,540.1748,24800.7712,3153.7476,0.127163287567445,0.105382722937261,0.828719711114485
"3","Desert",1643.0616,23.7692,6262.4652,1666.8308,0.266162085818856,0.262366583689758,0.985739884336191
"4","Forest",1764.174,175.3588,4725.9032,1939.5328,0.410404682008722,0.373298801380443,0.90958709231419
"5","Fynbos",17798.2388,821.3456,81926.3932,18619.5844,0.227272111864434,0.217246702861075,0.955888080939121
"6","Grassland",13862.3752,3419.7984,333901.542,17282.1736,0.0517582922692822,0.0415163557405794,0.802119890752631
"7","IOCB",713.2548,130.3976,11691.166,843.6524,0.0721615277723368,0.0610080123744715,0.845436817343256
"8","Nama-Karoo",8763.4416,383.344,249360.7032,9146.7856,0.0366809424364825,0.0351436352542336,0.958089757783325
"9","Savanna",52862.1808,2896.1736,392759.782,55758.3544,0.141965539638679,0.13459163392651,0.948058481438972
"10","Succulent Karoo",6068.6028,55.0068,78208.2096,6123.6096,0.0782988081599045,0.0775954702330892,0.991017258840276
"11","TOTAL",111209.4956,8720.6316,1218713.5804,119930.1272,0.0984071476093974,0.0912515437495161,0.927285730419871
