"","BIOME","2000","2010","2018","2024"
"1","Albany Thicket",2253.8724,2427.0548,5330.5156,5377.7196
"2","Azonal",2299.1304,2453.2948,3056.3312,3154.0896
"3","Desert",1153.7236,1600.4896,1630.3984,1666.8308
"4","Forest",1795.9684,1845.6648,1889.322,1941.3328
"5","Fynbos",14870.4568,17874.7344,18533.372,18614.0616
"6","Grassland",10241.276,11572.9476,15940.6532,17407.5924
"7","IOCB",818.5952,818.7604,827.4084,841.718
"8","Nama-Karoo",2290.0756,2379.0444,7455.4568,9146.7856
"9","Savanna",48055.0508,49220.12,54110.9576,56088.1844
"10","Succulent Karoo",2646.7448,4905.7736,5815.4832,6135.0776
"11","TOTAL",86424.894,95097.8844,114589.8984,120373.3924
